,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
64,"Body Like A Back Road","Sam Hunt",6940390,https://open.spotify.com/track/7mldq42yDuxiUNn08nvzHO
65,Bonita,"J Balvin",6827731,https://open.spotify.com/track/693iqPOQvhI7PobtR8CC8v
66,Magnolia,"Playboi Carti",6758329,https://open.spotify.com/track/1e1JKLEDKP7hEQzJfNAgPl
67,"Say You Won't Let Go","James Arthur",6718348,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
68,Down,"Fifth Harmony",6546471,https://open.spotify.com/track/7LEydI5NfjY6mZfKwYIptZ
69,"iSpy (feat. Lil Yachty)",KYLE,6482554,https://open.spotify.com/track/2EEeOnHehOozLq4aS0n6SL
70,"Scared to Be Lonely","Martin Garrix",6401459,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH
71,"Me Enamoré",Shakira,6168158,https://open.spotify.com/track/4qknM1pQz53QOyfDVTjcM9
72,"El Amante","Nicky Jam",6149470,https://open.spotify.com/track/3umS4y3uQDkqekNjVpiRUs
73,"Slippery (feat. Gucci Mane)",Migos,6091772,https://open.spotify.com/track/6p8NuHm8uCGnn2Dtbtf7zE
74,"I Feel It Coming","The Weeknd",6069156,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt
75,"One Dance",Drake,5966180,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3
76,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,5934080,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
77,"Hey Ma (with Pitbull & J Balvin feat. Camila Cabello) - Spanish Version",Pitbull,5930908,https://open.spotify.com/track/2Vdub5mY4lad7w64bFPUez
78,"Tu Foto",Ozuna,5930747,https://open.spotify.com/track/0Szp49tpFasIjX04Mcsydp
79,Tuesday,"Burak Yeter",5891610,https://open.spotify.com/track/7abpmGpF7PGep2rDU68GBR
80,"Whatever It Takes","Imagine Dragons",5825499,https://open.spotify.com/track/4IWAyPf1KMq7JCyGeCjTeH
81,Starboy,"The Weeknd",5750869,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z
82,"Sigo Extrañándote","J Balvin",5728249,https://open.spotify.com/track/6qDF4wWL49CAVbgT7yuHl8
83,"Castle on the Hill","Ed Sheeran",5702004,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT
84,"La Rompe Corazones","Daddy Yankee",5654048,https://open.spotify.com/track/4okba5wu9mMLXx79DXLKi3
85,"LOVE. FEAT. ZACARI.","Kendrick Lamar",5651489,https://open.spotify.com/track/6PGoSes0D9eUDeeAafB2As
86,Paris,"The Chainsmokers",5546202,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG
87,"No Vacancy",OneRepublic,5476852,https://open.spotify.com/track/6XOYVSmNDjKUNMXooU4s4z
88,"Chantaje (feat. Maluma)",Shakira,5473647,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg
89,"Solo Dance","Martin Jensen",5437774,https://open.spotify.com/track/6HUnnBwYZqcED1eQztxMBN
90,"Came Here for Love",Sigala,5311765,https://open.spotify.com/track/3kGfazcbVvVkuZunzlLgTD
91,"No Complaints","Metro Boomin",5244083,https://open.spotify.com/track/6kig1UFggPUyZBCvXD3Wod
92,"Call On Me - Ryan Riback Extended Remix",Starley,5224970,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde
93,"You Don't Know Me - Radio Edit","Jax Jones",5204826,https://open.spotify.com/track/00lNx0OcTJrS3MKHcB80HY
94,"Otra Vez (feat. J Balvin)","Zion & Lennox",5125120,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq
95,"Let Me Love You","DJ Snake",5107438,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m
96,"Drowning (feat. Kodak Black)","A Boogie Wit da Hoodie",5047323,https://open.spotify.com/track/6Q2FftbUG530lCtBI74bMH
97,Perfect,"Ed Sheeran",4940446,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
98,"The Cure","Lady Gaga",4892319,https://open.spotify.com/track/51PIvodunv6NmX5250zxAh
99,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]","Anuel Aa",4855862,https://open.spotify.com/track/5q2JbCNi4FcnglgPfxcV65
100,"LOYALTY. FEAT. RIHANNA.","Kendrick Lamar",4849559,https://open.spotify.com/track/6SwRhMLwNqEi6alNPVG00n
101,"4 AM","2 Chainz",4843402,https://open.spotify.com/track/1nX9KhK3Fff27SnrIor2Yb
102,"Don't Let Me Down","The Chainsmokers",4797122,https://open.spotify.com/track/0QsvXIfqM0zZoerQfsI9lm
103,Portland,Drake,4677139,https://open.spotify.com/track/2bjwRfXMk4uRgOD9IBYl9h
104,Báilame,Nacho,4656765,https://open.spotify.com/track/7lRsNbdOGykkMAgsqs4R1C
105,"24K Magic","Bruno Mars",4636681,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P
106,"Reggaetón Lento (Bailemos)",CNCO,4477485,https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo
107,Hunter,Galantis,4474340,https://open.spotify.com/track/3caMfJGFp53NAH2TuigdNj
108,"Bad and Boujee (feat. Lil Uzi Vert)",Migos,4463257,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR
109,Photograph,"Ed Sheeran",4427017,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy
110,"Cash Out","Calvin Harris",4412014,https://open.spotify.com/track/0Ws8D3EWUDgY962Xftb0h5
111,Starving,"Hailee Steinfeld",4359643,https://open.spotify.com/track/1qOLh0tI7trd1zdDKxYZTe
112,"Me Llamas (feat. Maluma) - Remix","Piso 21",4338891,https://open.spotify.com/track/5hEM0JchdVzQ5PwvSfITeX
113,"We Don't Talk Anymore (feat. Selena Gomez)","Charlie Puth",4309604,https://open.spotify.com/track/68EMU2RD1ECNeOeJ5qAXCV
114,"Homemade Dynamite",Lorde,4248713,https://open.spotify.com/track/12o6dxWGk29uIAP3OWY0pM
115,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")","Justin Timberlake",4244522,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc
116,"Treat You Better","Shawn Mendes",4236344,https://open.spotify.com/track/4Hf7WnR761jpxPr5D46Bcd
117,"Reminding Me","Shawn Hook",4217603,https://open.spotify.com/track/4gqMQftUs22F8pOGVn5Acr
118,"Fake Love",Drake,4216090,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd
119,"Don't Quit (feat. Travis Scott & Jeremih)","DJ Khaled",4214500,https://open.spotify.com/track/4vv1KjUzPwrtDbozizSfQc
120,"Prayers Up","Calvin Harris",4213019,https://open.spotify.com/track/4KaIJ1FWXUoAAnOts1YWjD
121,Tired,"Alan Walker",4197377,https://open.spotify.com/track/3b5Li4QKDVBx1x7fQuu54a
122,"Bon appétit","Katy Perry",4189369,https://open.spotify.com/track/61WbtB6ujkpNAsAf5LjF4b
123,"Side To Side","Ariana Grande",4187678,https://open.spotify.com/track/4pLwZjInHj3SimIyN9SnOz
124,"Bounce Back","Big Sean",4182251,https://open.spotify.com/track/0SGkqnVQo9KPytSri1H6cF
125,"Cold Water (feat. Justin Bieber & MØ)","Major Lazer",4180088,https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p
126,Heatstroke,"Calvin Harris",4179205,https://open.spotify.com/track/60APt5N2NRaKWf5xzJdzyC
127,"Good Life (with G-Eazy & Kehlani)",G-Eazy,4164074,https://open.spotify.com/track/1Eck97uRMlprKOOJN9oO1E
128,"Tunnel Vision","Kodak Black",4159133,https://open.spotify.com/track/4Q3N4Ct4zCuIHuZ65E3BD4
129,"It's A Vibe","2 Chainz",4141579,https://open.spotify.com/track/6H0AwSQ20mo62jGlPGB8S6
130,"Nights With You",MØ,4083113,https://open.spotify.com/track/5q5gzmbBS5yQzos2BvVr1t
131,Cold,"Maroon 5",4039456,https://open.spotify.com/track/5NNlUMcOEOdoOIwwaWXv0k
132,"Chained To The Rhythm","Katy Perry",4033618,https://open.spotify.com/track/6520aj0B4FSKGVuKNsOCOi
133,"Green Light",Lorde,4018669,https://open.spotify.com/track/0gbBzIqrECJOEPvQJIBFs5
134,"Look At Me!",XXXTENTACION,3951535,https://open.spotify.com/track/4ARPvK8DHLwt4oX65ZAFMw
135,"Young Dumb & Broke",Khalid,3943315,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY
136,Weak,AJR,3929600,https://open.spotify.com/track/3E2Zh20GDCR9B1EYjfXWyv
137,"In the Name of Love","Martin Garrix",3914769,https://open.spotify.com/track/04DwTuZ2VBdJCCC5TROn7L
138,"I Took A Pill In Ibiza - Seeb Remix","Mike Posner",3902578,https://open.spotify.com/track/17Fd6Yb7mSbinKG8LoWfFl
139,"Thinking Out Loud","Ed Sheeran",3881254,https://open.spotify.com/track/1Slwb6dOYkBlWal1PGtnNg
140,Swang,"Rae Sremmurd",3880311,https://open.spotify.com/track/6mapJIPnQ23RTAevUoE0DL
141,"Be Mine",Ofenbach,3864441,https://open.spotify.com/track/2KklXplRtxMsBYo474Es0w
142,"Cheap Thrills",Sia,3860713,https://open.spotify.com/track/27SdWb2rFzO6GWiYDBTD9j
143,"Two High","Moon Taxi",3832385,https://open.spotify.com/track/3sJHkcxojoJD2Ytbo1yLLF
144,"Si Tú La Ves","Nicky Jam",3832196,https://open.spotify.com/track/4yN6xPLopmTLvc27pO9LIE
145,Besándote,"Piso 21",3820044,https://open.spotify.com/track/13X0XdLMOdtbXVtAj2ox4h
146,"Hear Me Now",Alok,3817267,https://open.spotify.com/track/1a5Yu5L18qNxVhXx38njON
147,"One Last Time","Ariana Grande",3809250,https://open.spotify.com/track/7bJwvubZZaoGE1AGEfu8Fi
148,T-Shirt,Migos,3802563,https://open.spotify.com/track/7KOlJ92bu51cltsD9KU5I7
149,Hot2Touch,"Felix Jaehn",3717517,https://open.spotify.com/track/1sBhJGPUKrdRycgKxve70v
150,"Faking It","Calvin Harris",3709561,https://open.spotify.com/track/0pJPdSVti6cTM1Q6xYGmcf
151,"Alguien Robo","Sebastian Yatra",3685151,https://open.spotify.com/track/5i50gKdLAjjIr7UxRT5IVy
152,"Love Yourself","Justin Bieber",3675510,https://open.spotify.com/track/3hB5DgAiMAQ4DzYbsMq1IT
153,"Summer Air",ItaloBrothers,3672554,https://open.spotify.com/track/3GPI7hYiqD6enLRobhkBm8
154,Paradinha,Anitta,3662237,https://open.spotify.com/track/05rJdH2MRLJ3sQoEUO78qs
155,ELEMENT.,"Kendrick Lamar",3660987,https://open.spotify.com/track/1EaKU4dMbesXXd3BrLCtYG
156,Happier,"Ed Sheeran",3650567,https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB
157,"Vente Pa' Ca","Ricky Martin",3628406,https://open.spotify.com/track/7DM4BPaS7uofFul3ywMe46
158,"The Way I Are (Dance With Somebody) [feat. Lil Wayne]","Bebe Rexha",3626261,https://open.spotify.com/track/6Pw3Gvw4wNMZfTYZa6IQal
159,Rolex,"Ayo & Teo",3616643,https://open.spotify.com/track/0pSBuHjILhNEo55xK1zrRt
160,"Can I Be Him","James Arthur",3610953,https://open.spotify.com/track/0VhgEqMTNZwYL1ARDLLNCX
161,"Skrt On Me","Calvin Harris",3597699,https://open.spotify.com/track/7iDxZ5Cd0Yg08d4fI5WVtG
162,"911 / Mr. Lonely","Tyler, The Creator",3532557,https://open.spotify.com/track/1pGAvZo2axYXAXYiSeYEqY
163,"The Night We Met","Lord Huron",3496558,https://open.spotify.com/track/6mORGLOz79w6VsCRLWYYuK
164,Ride,"Twenty One Pilots",3487135,https://open.spotify.com/track/2Z8WuEywRWYTKe1NybPQEW
165,"How Far I'll Go - From ""Moana""","Alessia Cara",3467941,https://open.spotify.com/track/5hYTyyh2odQKphUbMqc5gN
166,Faded,"Alan Walker",3458161,https://open.spotify.com/track/7gHs73wELdeycvS48JfIos
167,Mercy,"Shawn Mendes",3444305,https://open.spotify.com/track/4TZy1wLyHec06pwgFYDh1a
168,"This Is What You Came For","Calvin Harris",3428756,https://open.spotify.com/track/0azC730Exh71aQlOt9Zj3y
169,"Who Dat Boy","Tyler, The Creator",3424032,https://open.spotify.com/track/1a0wEEHipnBR7WOHFA6ucQ
170,"Don't Wanna Know","Maroon 5",3381083,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r
171,Heathens,"Twenty One Pilots",3365311,https://open.spotify.com/track/6i0V12jOa3mr6uu4WYhUBr
172,"Stressed Out","Twenty One Pilots",3316219,https://open.spotify.com/track/3CRDbSIZ4r5MsZ0YwxuEkn
173,"Still Got Time",ZAYN,3315328,https://open.spotify.com/track/000xQL6tZNLJzIrtIgxqSl
174,Gyalchester,Drake,3306531,https://open.spotify.com/track/6UjfByV1lDLW0SOVQA4NAi
175,"do re mi",Blackbear,3304686,https://open.spotify.com/track/3Q3myFA7q4Op95DOpHplaY
176,Sorry,"Justin Bieber",3294729,https://open.spotify.com/track/69bp2EbF7Q2rqc5N3ylezZ
177,"Work from Home","Fifth Harmony",3292878,https://open.spotify.com/track/4tCtwWceOPWzenK2HAIJSb
178,Traicionera,"Sebastian Yatra",3280667,https://open.spotify.com/track/5J1c3M4EldCfNxXwrwt8mT
179,Safari,"J Balvin",3263623,https://open.spotify.com/track/6rQSrBHf7HlZjtcMZ4S4bO
180,"Love Galore",SZA,3254319,https://open.spotify.com/track/0q75NwOoFiARAVp4EXU4Bs
181,"White Iverson","Post Malone",3250872,https://open.spotify.com/track/6eT7xZZlB2mwyzJ2sUKG6w
182,"The Scientist",Coldplay,3225732,https://open.spotify.com/track/75JFxkI2RXiU7L9VXzMkle
183,"Te Quiero Pa´Mi","Don Omar",3204986,https://open.spotify.com/track/3BY2mafsbsoKGqS380Xnuz
184,"Broccoli (feat. Lil Yachty)",DRAM,3187769,https://open.spotify.com/track/7yyRTcZmCiyzzJlNzGC9Ol
185,"Lean On (feat. MØ & DJ Snake)","Major Lazer",3174848,https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4
186,"Perfect Strangers","Jonas Blue",3167863,https://open.spotify.com/track/1CUVN2kn7mW5FjkqXTR2W1
187,"Si Tu Novio Te Deja Sola","J Balvin",3163562,https://open.spotify.com/track/0RFFFGtPn6a58RHY3ccVYX
188,"September Song","JP Cooper",3158032,https://open.spotify.com/track/0FuTx2s3YH1ppmtiM6l0zI
189,wokeuplikethis*,"Playboi Carti",3122661,https://open.spotify.com/track/59J5nzL1KniFHnU120dQzt
190,Panda,Desiigner,3116008,https://open.spotify.com/track/5OOkp4U9P9oL23maHFHL1h
191,"Love On The Brain",Rihanna,3105705,https://open.spotify.com/track/2aksifNn5ph8igDOkPBA02
192,Dive,"Ed Sheeran",3098382,https://open.spotify.com/track/51ChrwmUPDJvedPQnIU8Ls
193,"Light It Up (feat. Nyla & Fuse ODG) - Remix","Major Lazer",3045528,https://open.spotify.com/track/0L7loeTIg6akW84aEQZpCT
194,"Wonderwall - Remastered",Oasis,3044041,https://open.spotify.com/track/5qqabIl2vWzo9ApSC317sa
195,"Ciao Adios",Anne-Marie,3031782,https://open.spotify.com/track/3EfugazgSddQvzZpkof5I4
196,"Uh Huh","Julia Michaels",3031718,https://open.spotify.com/track/1eVRnmGhDPATPxz6kqWuCP
197,Touch,"Little Mix",3026641,https://open.spotify.com/track/5Ua3GXyHwiSfpNTMjq6m2z
198,"Black Beatles","Rae Sremmurd",3022988,https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo
199,"Craving You","Thomas Rhett",3018667,https://open.spotify.com/track/6zLdXcmvIxnAXpz9sXFnIE
200,"Power (feat. Stormzy)","Little Mix",3014023,https://open.spotify.com/track/4BJ5T8ZZZ3UrPG7k0OVQrp
