,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
93,"Live It Up - Official Song 2018 FIFA World Cup Russia","Nicky Jam",6699032,https://open.spotify.com/track/4DnHUy01jEA4b5ydC3HgsT
94,Unica,Ozuna,6697487,https://open.spotify.com/track/6752EZMgXswvRBH3N2PilO
95,"Freaky Friday (feat. Chris Brown)","Lil Dicky",6680941,https://open.spotify.com/track/10Igtw8bSDyyFs7KIsKngZ
96,Thunder,"Imagine Dragons",6664099,https://open.spotify.com/track/7BrsBU0BAytRDvROM4yCbn
97,"X - Remix","Nicky Jam",6645232,https://open.spotify.com/track/6JjPBQfI2Y8nIjnm65X6Pw
98,Believer,"Imagine Dragons",6610941,https://open.spotify.com/track/5VKSZDsidOFHrtlJb33Syo
99,"Call Out My Name","The Weeknd",6518637,https://open.spotify.com/track/1gm616Plq4ScqNi7TVkZ5N
100,"Por Perro","Sebastian Yatra",6506138,https://open.spotify.com/track/2alIsNw1mqEShbWyO1HXZZ
101,"Walk It Talk It",Migos,6322087,https://open.spotify.com/track/6n4U3TlzUGhdSFbUUhTvLP
102,"High Hopes","Panic! At The Disco",6225405,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
103,"Estamos Bien","Bad Bunny",6171332,https://open.spotify.com/track/7glCSQqV5o6NU88Cn4zPZn
104,"El Préstamo",Maluma,6095778,https://open.spotify.com/track/2XVilv6s9GETnw9PG4T9Mz
105,"Ball For Me (feat. Nicki Minaj)","Post Malone",6043532,https://open.spotify.com/track/6IaieqiCVvsNvEt6Y7yOFa
106,"Plug Walk","Rich The Kid",6019065,https://open.spotify.com/track/6mAz8D1TmlTuef90dbNIiZ
107,"DDU-DU DDU-DU - KR Ver.",BLACKPINK,6003427,https://open.spotify.com/track/2CWnuF7ht55Ajyeg4WPvWu
108,"Boo'd Up","Ella Mai",5974868,https://open.spotify.com/track/0At2qAoaVjIwWNAqrscXli
109,"All The Stars (with SZA)","Kendrick Lamar",5966261,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s
110,Familiar,"Liam Payne",5963094,https://open.spotify.com/track/0Y4hwUppbGc8aIBmiTz30A
111,"Remind Me to Forget",Kygo,5935526,https://open.spotify.com/track/6xTU6B6nFwKKTSZ9ySXS80
112,"Ric Flair Drip (& Metro Boomin)",Offset,5921226,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
113,"Bella - Remix",Wolfine,5913625,https://open.spotify.com/track/0SaYeGhSXN0dDWstyNTQ56
114,"Audio - with Sia, Diplo & Labrinth",Sia,5895004,https://open.spotify.com/track/7boPPE857KEqCIHNwFkDop
115,"I'll Be There","Jess Glynne",5858947,https://open.spotify.com/track/083Qf6hn6sFL6xiOHlZUyn
116,"Vaina Loca",Ozuna,5832230,https://open.spotify.com/track/1s2B5cndbqK8rPJEIcKJRQ
117,Somebody,"The Chainsmokers",5827260,https://open.spotify.com/track/3pWcj8hxj3fsb9TDAcMpEl
118,NUMB,XXXTENTACION,5798569,https://open.spotify.com/track/01TnVDiet1DFTsyWKUKovl
119,"I Fall Apart","Post Malone",5787521,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
120,"XO TOUR Llif3","Lil Uzi Vert",5735540,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
121,Dura,"Daddy Yankee",5728008,https://open.spotify.com/track/6KuqAtoeVzxAYOaMveLNpH
122,"Te Amo","Piso 21",5603649,https://open.spotify.com/track/2RVrdr062uLFxXwIxwdXPH
123,Happier,"Ed Sheeran",5527915,https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB
124,"Too Good At Goodbyes","Sam Smith",5521700,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
125,"If You're Over Me","Years & Years",5466910,https://open.spotify.com/track/01k24g94i1JvkFLQmVEdCd
126,"One Dance",Drake,5399234,https://open.spotify.com/track/1zi7xx7UVEFkmKfv06H8x0
127,"I'm a Mess","Bebe Rexha",5316167,https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R
128,"Échame La Culpa","Luis Fonsi",5297284,https://open.spotify.com/track/2hl6q70unbviGo3g1R7uFx
129,Ambiente,"J Balvin",5250444,https://open.spotify.com/track/6VrBWh90BiwWmwKtvwWFcq
130,"Mad Love","Sean Paul",5167539,https://open.spotify.com/track/4dSoDnmR9opAQ8KxUc9SbC
131,Closer,"The Chainsmokers",5134836,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
132,"Wake Me Up - Radio Edit",Avicii,5094205,https://open.spotify.com/track/4h8VwCb1MTGoLKueQ1WgbD
133,JAPAN,"Famous Dex",5053450,https://open.spotify.com/track/5PTG6rrL6EPFD9E2QMI2pl
134,Dembow,"Danny Ocean",5014212,https://open.spotify.com/track/2EzRdhuoPyNJDlep7lnNf2
135,"Candy Paint","Post Malone",4980526,https://open.spotify.com/track/32lItqlMi4LBhb4k0BaSaC
136,"Déjala Que Vuelva (feat. Manuel Turizo)","Piso 21",4975127,https://open.spotify.com/track/1j6xOGusnyXq3l6IryKF3G
137,Shotgun,"George Ezra",4902479,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC
138,"Feel It Still","Portugal. The Man",4826032,https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK
139,"Like I Do","David Guetta",4825715,https://open.spotify.com/track/6RnkFd8Fqqgk1Uni8RgqCQ
140,"Like To Be You feat. Julia Michaels","Shawn Mendes",4801036,https://open.spotify.com/track/5QskYLFPX9y7pLU0VEMNbr
141,HUMBLE.,"Kendrick Lamar",4788019,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
142,"Girls (feat. Cardi B, Bebe Rexha & Charli XCX)","Rita Ora",4778085,https://open.spotify.com/track/1YNQscOx6OqBQjxgJVhEeW
143,Congratulations,"Post Malone",4730698,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
144,"Powerglide (feat. Juicy J) - From SR3MM","Rae Sremmurd",4717596,https://open.spotify.com/track/1BuZAIO8WZpavWVbbq3Lci
145,"Youth feat. Khalid","Shawn Mendes",4716216,https://open.spotify.com/track/5SwEgzUFDHwpWHKrbnP32Z
146,Enemies,Lauv,4702633,https://open.spotify.com/track/3JJYIoJ5FyY9E0DGjr7SXF
147,"FAKE LOVE",BTS,4701150,https://open.spotify.com/track/3aW0ds4A4tSQDIp75FqWTo
148,Asesina,Brytiago,4699052,https://open.spotify.com/track/6rbhaJsE4uLzpPf8WYSHDK
149,"Say You Won't Let Go","James Arthur",4628741,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
150,Unforgettable,"French Montana",4618871,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe
151,Wolves,"Selena Gomez",4606853,https://open.spotify.com/track/0tBbt8CrmxbjRP0pueQkyU
152,Yikes,"Kanye West",4603762,https://open.spotify.com/track/2r4JRwcbIeuAzWjH4YXlLs
153,"Perfect Duet (Ed Sheeran & Beyoncé)","Ed Sheeran",4535307,https://open.spotify.com/track/1bhUWB0zJMIKr9yVPrkEuI
154,"Duro y Suave","Leslie Grace",4531050,https://open.spotify.com/track/31M5m42C3EGlbydf9XB5to
155,"Despacito - Remix","Luis Fonsi",4530498,https://open.spotify.com/track/6rPO02ozF3bM7NnOV4h6s2
156,"ocean eyes","Billie Eilish",4505905,https://open.spotify.com/track/7hDVYcQq6MxkdJGweuCtl9
157,"I Like Me Better",Lauv,4478288,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
158,Silence,Marshmello,4457146,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
159,"Without You (feat. Sandro Cavazza)",Avicii,4440589,https://open.spotify.com/track/6Pgkp4qUoTmJIPn7ReaGxL
160,"Something Just Like This","The Chainsmokers",4433562,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
161,"Never Be the Same","Camila Cabello",4394298,https://open.spotify.com/track/4eWQlBRaTjPPUlzacqEeoQ
162,"That's What I Like","Bruno Mars",4370977,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
163,"Dance To This (feat. Ariana Grande)","Troye Sivan",4361017,https://open.spotify.com/track/1NbGcdgwRHZ5rbPIT9hdR3
164,"I'm Yours","Jason Mraz",4359120,https://open.spotify.com/track/3S0OXQeoh0w6AY8WQVckRW
165,Paranoid,"Post Malone",4350247,https://open.spotify.com/track/3fpVWegR6YOS1Yk5HSMYIq
166,Esskeetit,"Lil Pump",4350214,https://open.spotify.com/track/44KKhCyI0BGS6LvVyDqJtH
167,"Humility (feat. George Benson)",Gorillaz,4295985,https://open.spotify.com/track/3NeiYiBn3rQBgurfVk92Zm
168,"Young Dumb & Broke",Khalid,4286739,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY
169,"Bigger Than You (feat. Drake & Quavo)","2 Chainz",4281023,https://open.spotify.com/track/5S1IUPueD0xE0vj4zU3nSf
170,"Finesse (Remix) [feat. Cardi B]","Bruno Mars",4269758,https://open.spotify.com/track/3Vo4wInECJQuz9BIBMOu8i
171,Location,Khalid,4249271,https://open.spotify.com/track/152lZdxL1OR0ZMW6KquMif
172,Criminal,"Natti Natasha",4243623,https://open.spotify.com/track/6Za3190Sbw39BBC77WSS1C
173,"Better Not (feat. Wafia)","Louis The Child",4211691,https://open.spotify.com/track/447yWcDPg1ddgcHBLGpJC0
174,TATI,6ix9ine,4184187,https://open.spotify.com/track/6kp0inxIexxSiDJfWqq0ZL
175,goosebumps,"Travis Scott",4181624,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
176,"Sorry Not Sorry","Demi Lovato",4170287,https://open.spotify.com/track/3Du2K5dLzmduCNp6uwuaL0
177,"Big Bank feat. 2 Chainz, Big Sean, Nicki Minaj",YG,4162724,https://open.spotify.com/track/2RM4jf1Xa9zPgMGRDiht8O
178,Revenge,XXXTENTACION,4144889,https://open.spotify.com/track/5TXDeTFVRVY7Cvt0Dw4vWW
179,"Ao Vivo E A Cores","Matheus & Kauan",4136344,https://open.spotify.com/track/2Ab1wPTEqulaCGoBak1gUo
180,"What Lovers Do (feat. SZA)","Maroon 5",4133720,https://open.spotify.com/track/0GxQ1A5L9xnMOytbP6eKBG
181,Simple,"Florida Georgia Line",4103927,https://open.spotify.com/track/4P92FrvmYQSAfOpp4cpFEi
182,"Mi Gente","J Balvin",4075646,https://open.spotify.com/track/7COfe3P7KgfwDwIRB8LIDw
183,"More Than You Know","Axwell /\ Ingrosso",4074986,https://open.spotify.com/track/6h5PAsRni4IRlxWr6uDPTP
184,Corazón,Maluma,4047243,https://open.spotify.com/track/5cepAtqnEQ6yVG6088zMMu
185,"Roll In Peace (feat. XXXTENTACION)","Kodak Black",4044497,https://open.spotify.com/track/40oKW22ZNNkEdZLJTScaQI
186,"Spoil My Night (feat. Swae Lee)","Post Malone",4038965,https://open.spotify.com/track/5VuxWXbt7XENQCtE9TzpTv
187,Africa,Toto,4034016,https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX
188,Solita,Ozuna,4028224,https://open.spotify.com/track/7rwX0O3RlxqqIjQM8evm5E
189,"I Wanna Know (feat. Bea Miller)",NOTD,4023783,https://open.spotify.com/track/18W92Zm1KjLCbUIszOhpkD
190,"Whatever It Takes","Imagine Dragons",4012763,https://open.spotify.com/track/0yt31hMKZMiyIEfiBiLD2N
191,"Let You Down",NF,4003170,https://open.spotify.com/track/52okn5MNA47tk87PeZJLEL
192,"Thinking Out Loud","Ed Sheeran",3984452,https://open.spotify.com/track/1Slwb6dOYkBlWal1PGtnNg
193,"Mr. Brightside","The Killers",3970211,https://open.spotify.com/track/7oK9VyNzrYvRFo7nQEYkWN
194,"Guatemala - From Swaecation","Rae Sremmurd",3966954,https://open.spotify.com/track/0TCnOEVeLQMXOUrpPlM7uY
195,Stay,"Post Malone",3963064,https://open.spotify.com/track/4H7WNRErSbONkM06blBoGc
196,"Nena Maldicion (feat. Lenny Tavarez)","Paulo Londra",3960010,https://open.spotify.com/track/3TnhQSRwT3AVMdXw5JPq0x
197,"Bodak Yellow","Cardi B",3914114,https://open.spotify.com/track/6KBYefIoo7KydImq1uUQlL
198,"Wonderwall - Remastered",Oasis,3911238,https://open.spotify.com/track/5qqabIl2vWzo9ApSC317sa
199,Halo,Beyoncé,3880448,https://open.spotify.com/track/2CvOqDpQIMw69cCzWqr5yr
200,"This Is Me","Keala Settle",3879518,https://open.spotify.com/track/2xGjteMU3E1tkEPVFBO08U
