,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
22,"Girls Like You (feat. Cardi B)","Maroon 5",14026222,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
23,"Lucid Dreams","Juice WRLD",14017222,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
24,"Be Alright","Dean Lewis",13886238,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
25,"Promises (with Sam Smith)","Calvin Harris",13397850,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
26,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",13256351,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
27,SAD!,XXXTENTACION,13026758,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
28,"Kiss and Make Up","Dua Lipa",12824330,https://open.spotify.com/track/13hvHEstJ4sNbzdroPrPI3
29,"Woman Like Me (feat. Nicki Minaj)","Little Mix",12809589,https://open.spotify.com/track/6rrTr2HEAzlpC4KWZxF3S1
30,"Let You Love Me","Rita Ora",12318260,https://open.spotify.com/track/6xtcFXSo8H9BZN637BMVKS
31,"Better Now","Post Malone",12136882,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
32,Moonlight,XXXTENTACION,12030329,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
33,"Ruin My Life","Zara Larsson",11903608,https://open.spotify.com/track/5tAa8Uaqr4VvA3693mbIhU
34,"Armed And Dangerous","Juice WRLD",11478075,https://open.spotify.com/track/6SAKXCj5jyF6IgPCPbZ5ra
35,"I Love It (& Lil Pump)","Kanye West",11426773,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
36,"Vaina Loca",Ozuna,11376945,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA
37,"Another One Bites The Dust - Remastered 2011",Queen,11262150,https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7
38,breathin,"Ariana Grande",11081071,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J
39,BEBE,6ix9ine,10600973,https://open.spotify.com/track/7ATATJztoWLcqDAcVVof0C
40,"In My Feelings",Drake,10410435,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
41,"Taste (feat. Offset)",Tyga,10334125,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
42,"Wake Up in the Sky","Gucci Mane",10287573,https://open.spotify.com/track/0QIjsbm2fh1cJ45XO9eGqq
43,Youngblood,"5 Seconds of Summer",10200338,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
44,"High Hopes","Panic! At The Disco",10176699,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
45,"Always Remember Us This Way","Lady Gaga",10096910,https://open.spotify.com/track/2rbDhOo9Fh61Bbu23T2qCk
46,"Adan y Eva","Paulo Londra",9821336,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk
47,Topanga,"Trippie Redd",9561063,https://open.spotify.com/track/5aXgz1oKK8Q9z9xvTmSnrO
48,"Cuando Te Besé","Becky G",9362440,https://open.spotify.com/track/2XXMDz7SPZ4mSFN1PXfHUy
49,"God is a woman","Ariana Grande",9269837,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C
50,"Somebody To Love - Remastered 2011",Queen,9260667,https://open.spotify.com/track/6cFZ4PLC19taNlpl9pbGMf
51,"Happy Now (feat. Sandro Cavazza)",Kygo,9255238,https://open.spotify.com/track/14sOS5L36385FJ3OL8hew4
52,"I Like It","Cardi B",9215155,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
53,"Don't Stop Me Now - Remastered",Queen,9119116,https://open.spotify.com/track/5T8EDUDqKcs6OSOwEsfqG7
54,"Jocelyn Flores",XXXTENTACION,8875533,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
55,"Under Pressure - Remastered",Queen,8823104,https://open.spotify.com/track/2fuCquhmrzHpu5xcA1ci9x
56,"no tears left to cry","Ariana Grande",8796522,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo
57,"lovely (with Khalid)","Billie Eilish",8769197,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
58,"Love Someone","Lukas Graham",8762980,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r
59,"rockstar (feat. 21 Savage)","Post Malone",8724813,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
60,"Te Boté - Remix","Nio Garcia",8586859,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
61,"10 Freaky Girls (with 21 Savage)","Metro Boomin",8509732,https://open.spotify.com/track/43lYaovU2FoeuBMNusVVVW
62,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,8504566,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
63,"No Stylist","French Montana",8443376,https://open.spotify.com/track/04MLEeAMuV9IlHEsD8vF6A
64,Nonstop,Drake,8156907,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
65,POP/STARS,K/DA,8143290,https://open.spotify.com/track/5sbooPcNgIE22DwO0VNGUJ
66,"Suncity (feat. Empress Of)",Khalid,7906176,https://open.spotify.com/track/4AhSkRYioEIfGvCV19peYN
67,Rise,"Jonas Blue",7854603,https://open.spotify.com/track/3KLygy1YWhmrQx0GRs7IOx
68,Money,"Cardi B",7840756,https://open.spotify.com/track/2GGMabyHXnJmjY6CXhhB2e
69,"Close To Me (with Diplo) (feat. Swae Lee)","Ellie Goulding",7807391,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA
70,"Electricity (with Dua Lipa)","Silk City",7759726,https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk
71,"This Feeling","The Chainsmokers",7684266,https://open.spotify.com/track/4edS9dC0JPBlSS4p4gMOT0
72,"Beautiful (feat. Camila Cabello)",Bazzi,7657415,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
73,"We Will Rock You - Remastered",Queen,7615977,https://open.spotify.com/track/4pbJqGIASGPr0ZpGpnWkDn
74,changes,XXXTENTACION,7587627,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
75,Imposible,"Luis Fonsi",7568354,https://open.spotify.com/track/3ao3OVxHlb3C08vAaApUlm
76,"Body (feat. brando)","Loud Luxury",7534018,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
77,"God's Plan",Drake,7531362,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
78,2002,Anne-Marie,7472507,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
79,"1400 / 999 Freestyle","Trippie Redd",7393548,https://open.spotify.com/track/75lcPkAkUsKWHGBlGM476R
80,"Leave Me Alone","Flipp Dinero",7306131,https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g
81,"Solo (feat. Demi Lovato)","Clean Bandit",7303290,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
82,Believer,"Imagine Dragons",7277686,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
83,"Waste It On Me (feat. BTS)","Steve Aoki",7249941,https://open.spotify.com/track/2J0X46UkpfLlWbuCXFgDLr
84,"Amigos Con Derechos",Reik,7247649,https://open.spotify.com/track/2zDj4WjbNDmrRL6Z4YjjCA
85,"Shape of You","Ed Sheeran",7244371,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
86,Shotgun,"George Ezra",7163359,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC
87,"One Kiss (with Dua Lipa)","Calvin Harris",7111097,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
88,"No Es Justo","J Balvin",7083325,https://open.spotify.com/track/5qFeMRz4TvetPmzjre9Dq7
89,"Ella Quiere Beber - Remix","Anuel Aa",7080873,https://open.spotify.com/track/2cYnZNzFRFK0H7vSNxPsUq
90,"Ya No Tiene Novio","Sebastian Yatra",6933166,https://open.spotify.com/track/7uQmJ1jgNzBpATSoWKSPFu
91,"Don't Come Out The House (with 21 Savage)","Metro Boomin",6884382,https://open.spotify.com/track/1m6lqaLvUTxPjOo98fJH8U
92,"Fine China",Future,6813955,https://open.spotify.com/track/5274I4mUMnYczyeXkGDWZN
93,"Mala Mía",Maluma,6793562,https://open.spotify.com/track/62o8KoI44JfN7aYxgTnPvh
94,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,6787238,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
95,"Lucky You (feat. Joyner Lucas)",Eminem,6774142,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
96,"Killer Queen - Remastered 2011",Queen,6735803,https://open.spotify.com/track/7GqWnsKhMtEW0nzki5o0d8
97,1999,"Charli XCX",6712438,https://open.spotify.com/track/05mAIVLkIWc2d1UBYZBCp8
98,"Never Recover (Lil Baby & Gunna, Drake)","Lil Baby",6669543,https://open.spotify.com/track/6wWaVoUOzLQJHd3bWAUpdZ
99,IDGAF,"Dua Lipa",6641570,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
100,Culpables,"Karol G",6587394,https://open.spotify.com/track/6q8Lb50EtqNeeJXXe8mMAH
101,"Psycho (feat. Ty Dolla $ign)","Post Malone",6578235,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
102,"Space Cadet (feat. Gunna)","Metro Boomin",6571261,https://open.spotify.com/track/5gub2bpJRgJP4m4MliqtdV
103,"Quiere Beber","Anuel Aa",6537586,https://open.spotify.com/track/3rPAD722s5FFNnwjC91t7Z
104,Bubalu,"Becky G",6534898,https://open.spotify.com/track/7dNwJbsT0sg1le5kVugGJb
105,"Sin Pijama","Becky G",6506718,https://open.spotify.com/track/2ijef6ni2amuunRoKTlgww
106,Perfect,"Ed Sheeran",6475608,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
107,"Thunderclouds (with Sia, Diplo & Labrinth)",Sia,6338614,https://open.spotify.com/track/2c7GlMNmF7pbohjykutmLP
108,Noticed,"Lil Mosey",6233178,https://open.spotify.com/track/6JQvHMSaR8flFsN53ypOfP
109,Thunder,"Imagine Dragons",6173307,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB
110,Havana,"Camila Cabello",6133765,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
111,"The Middle",Zedd,6100759,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
112,"I Found You (with Calvin Harris)","benny blanco",6069358,https://open.spotify.com/track/5sdb5pMhcK44SSLsj1moUh
113,"New Rules","Dua Lipa",6057764,https://open.spotify.com/track/2xJCMIJfcNYDc5iR0sAm2O
114,"Back To You - From 13 Reasons Why – Season 2 Soundtrack","Selena Gomez",6009357,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW
115,"There's No Way (feat. Julia Michaels)",Lauv,5986596,https://open.spotify.com/track/2hnxrRNzF74mdDzpQZQukQ
116,"All I Want for Christmas Is You","Mariah Carey",5967226,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
117,"I Fall Apart","Post Malone",5889827,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
118,FRIENDS,Marshmello,5879388,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
119,"Zero - From the Original Motion Picture ""Ralph Breaks The Internet""","Imagine Dragons",5834119,https://open.spotify.com/track/2bzitsPcImYC6DZWvvLCQi
120,"Jackie Chan",Tiësto,5809774,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
121,"Goodbye (feat. Nicki Minaj & Willy William)","Jason Derulo",5808910,https://open.spotify.com/track/5Xn4IyTtW6FUGIUyWjbUHG
122,Ibiza,Ozuna,5804231,https://open.spotify.com/track/1h9P5WJwyvK8OB7O2YiXgp
123,"REEL IT IN",Aminé,5782617,https://open.spotify.com/track/5qHirGR7M9tdm6C17DlzSY
124,"Life is Beautiful","Lil Peep",5766900,https://open.spotify.com/track/5rYpwP1dHWGVMrSZbTmt3e
125,"Asesina - Remix",Brytiago,5676583,https://open.spotify.com/track/59PYgzOiOjGDzjDT5N5oOX
126,"Sex with My Ex","Lil Peep",5651686,https://open.spotify.com/track/0H1Had94fszD13qsFsP1U5
127,"I Like Me Better",Lauv,5625661,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
128,"Say My Name","David Guetta",5607229,https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6
129,idontwannabeyouanymore,"Billie Eilish",5590939,https://open.spotify.com/track/41zXlQxzTi6cGAjpOXyLYH
130,"CABRIOLET (feat. Sfera Ebbasta)",Salmo,5587509,https://open.spotify.com/track/7wC76LWyNxaP3hjGzbWOcN
131,"Venom - Music From The Motion Picture",Eminem,5585796,https://open.spotify.com/track/2SL6oP2YAEQbqsrkOzRGO4
132,Machine,"Imagine Dragons",5563076,https://open.spotify.com/track/4uGY9CqDtGtaTTLg1cgsWD
133,"Everybody Dies In Their Nightmares",XXXTENTACION,5536012,https://open.spotify.com/track/3GVkPk8mqxz0itaAriG1L7
134,Veneno,Anitta,5454437,https://open.spotify.com/track/1KFN3kB4hc6r7ILpifFsqf
135,"Happy Now",Zedd,5433396,https://open.spotify.com/track/4keoy2fqgwGnbWlm3ZVZFa
136,"Too Good At Goodbyes","Sam Smith",5394079,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
137,"Toda - Remix","Alex Rose",5341152,https://open.spotify.com/track/7nD2JPaxIKUdxd2UWgnaGL
138,"STAI ZITTO (feat. Fabri Fibra)",Salmo,5326485,https://open.spotify.com/track/2rgOAX5Cj3pk8JFnaPwJbd
139,"Yes Indeed","Lil Baby",5320265,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
140,"Love Scars 3","Trippie Redd",5307147,https://open.spotify.com/track/0AcicReEGm1qcENjqzh1Tg
141,"I'm a Mess","Bebe Rexha",5299162,https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R
142,"IL CIELO NELLA STANZA (feat. NSTASIA)",Salmo,5287257,https://open.spotify.com/track/2fkVZYFv9hOejIsLzZy8ad
143,"Say You Won't Let Go","James Arthur",5274861,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
144,"All Girls Are The Same","Juice WRLD",5220677,https://open.spotify.com/track/0XySogm94T51XF5F2jumXm
145,"Praise The Lord (Da Shine)","A$AP Rocky",5210310,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
146,Celoso,"Lele Pons",5151649,https://open.spotify.com/track/33zcmmElV1YbRZe57biUjg
147,SOLO,JENNIE,5105432,https://open.spotify.com/track/2wVDWtLKXunswWecARNILj
148,"Love Lies (with Normani)",Khalid,5084231,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
149,"XO TOUR Llif3","Lil Uzi Vert",5083796,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
150,Closer,"The Chainsmokers",5069579,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
151,Runaway,"Lil Peep",4994817,https://open.spotify.com/track/1FBi1YWCAxlRmfuUbMINqO
152,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",4970148,https://open.spotify.com/track/4e4fqjx0Izh4svvTef1z7e
153,"Born To Be Yours",Kygo,4960145,https://open.spotify.com/track/4M3FO0ji6Lc8vwD1sgf1nc
154,"Diamond Heart","Alan Walker",4919791,https://open.spotify.com/track/4J4zx8xGJpuGndrVc06KaT
155,"Look Alive (feat. Drake)","BlocBoy JB",4917172,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
156,PPP,"Kevin Roldan",4916072,https://open.spotify.com/track/1DcxnVNFAyVl2sDQ646pXS
157,"Lean Wit Me","Juice WRLD",4901988,https://open.spotify.com/track/29tc0GbW0pTSBZSCZF3NWk
158,"ocean eyes","Billie Eilish",4889516,https://open.spotify.com/track/2uIX8YMNjGMD7441kqyyNU
159,"No Brainer","DJ Khaled",4875437,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
160,"Look At Me!",XXXTENTACION,4846818,https://open.spotify.com/track/6eYxmK9fdL4hwLnXG2zY3s
161,"Empty Space","James Arthur",4845501,https://open.spotify.com/track/1uru26I2JKd2mQZt0MDCUe
162,"Crazy Little Thing Called Love - Remastered 2011",Queen,4836688,https://open.spotify.com/track/6xdLJrVj4vIXwhuG8TMopk
163,Congratulations,"Post Malone",4793690,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
164,"Nice For What",Drake,4772835,https://open.spotify.com/track/3CA9pLiwRIGtUBiMjbZmRw
165,"Broken Smile (My All)","Lil Peep",4755199,https://open.spotify.com/track/1BCBBO8VUEFOb6RBct4XDp
166,STARGAZING,"Travis Scott",4744749,https://open.spotify.com/track/7wBJfHzpfI3032CSD7CE2m
167,Trip,"Ella Mai",4717693,https://open.spotify.com/track/6CTWathupIiDs7U4InHnDA
168,"Calma - Remix","Pedro Capó",4691530,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4
169,"Ocean (feat. Khalid)","Martin Garrix",4665461,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
170,"Thinking Out Loud","Ed Sheeran",4625597,https://open.spotify.com/track/1Slwb6dOYkBlWal1PGtnNg
171,"Atrasadinha - Ao Vivo","Felipe Araújo",4624246,https://open.spotify.com/track/5EKHbW7mXcAR4hCyS3YXjb
172,Clandestino,Shakira,4607302,https://open.spotify.com/track/7DrluKkTviBwCc8AV3VGmf
173,"We Are The Champions - Remastered 2011",Queen,4598514,https://open.spotify.com/track/1lCRw5FEZ1gPDNPzy1K4zW
174,Créeme,"Karol G",4596302,https://open.spotify.com/track/1mT47pKLXUwPYGwB91GcNz
175,Adictiva,"Daddy Yankee",4577781,https://open.spotify.com/track/6MJUCumnQsQEKbCy28tbCP
176,"In My Blood","Shawn Mendes",4563000,https://open.spotify.com/track/2QZ7WLBE8h2y1Y5Fb8RYbH
177,Happier,"Ed Sheeran",4548277,https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB
178,Photograph,"Ed Sheeran",4527240,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy
179,"No Me Acuerdo",Thalía,4525187,https://open.spotify.com/track/1G586ld1gbaECg4Bc6w40O
180,"Dip (feat. Nicki Minaj)",Tyga,4493109,https://open.spotify.com/track/4hXDobvUaXyDFLnmecoY0z
181,Polaroid,"Jonas Blue",4484978,https://open.spotify.com/track/6XqvFyJGdUD5IWee02ARKU
182,STOOPID,6ix9ine,4483011,https://open.spotify.com/track/1jQvUmf16VE9WQCPuK2e8K
183,"Está Rico","Marc Anthony",4481610,https://open.spotify.com/track/2wRkBumdItthjYP9XknImg
184,"Consequences - orchestra","Camila Cabello",4472423,https://open.spotify.com/track/1ArLnG0bHaHPXqf08sEKM0
185,REMEDY,Alesso,4468271,https://open.spotify.com/track/6jreFSOTUAViWjKyzOC4Kg
186,"Radio Ga Ga - Live Aid",Queen,4457010,https://open.spotify.com/track/0YwBZKT8JE4U5TwmYE9BV9
187,Hipócrita,"Anuel Aa",4452202,https://open.spotify.com/track/6XBjCetHKdO5L9cwMDVffw
188,Killshot,Eminem,4448194,https://open.spotify.com/track/1jo3TwNGCXfNdB5uba3ZVv
189,Desconocidos,"Mau y Ricky",4432950,https://open.spotify.com/track/0s5DNDV6LAKn2u2Ufa3VjQ
190,"Wonderwall - Remastered",Oasis,4429122,https://open.spotify.com/track/5qqabIl2vWzo9ApSC317sa
191,"Toxic Waste","Trippie Redd",4416459,https://open.spotify.com/track/1SxagO9GK0UUeEYLmH8Pln
192,Boomerang,"Imagine Dragons",4415398,https://open.spotify.com/track/2B1fuWoWaYnCXbjYp1gXg5
193,"the remedy for a broken heart (why am I so in love)",XXXTENTACION,4399607,https://open.spotify.com/track/4UKCKdYiLN6IMA5ZESUTL7
194,"I'm Yours","Jason Mraz",4388730,https://open.spotify.com/track/3S0OXQeoh0w6AY8WQVckRW
195,"SLOW DANCING IN THE DARK",Joji,4340968,https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d
196,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,4331374,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
197,goosebumps,"Travis Scott",4329001,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
198,"Young Dumb & Broke",Khalid,4319725,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY
199,Nevermind,"Dennis Lloyd",4284242,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
200,"New Patek","Lil Uzi Vert",4268159,https://open.spotify.com/track/0Fpen1PTuEnCmOJtUU9Iud
