,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
124,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,4766664,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
125,Starboy,"The Weeknd",4707366,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z
126,"Rewrite The Stars","Zac Efron",4693532,https://open.spotify.com/track/630sXRhIcfwr2e4RdNtjKN
127,"Castle on the Hill","Ed Sheeran",4680307,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT
128,"3 A.M.","Jesse & Joy",4634747,https://open.spotify.com/track/0yyZN5ASdrYu0XYWFzfxUu
129,Wait,"Maroon 5",4628567,https://open.spotify.com/track/1Qg9jWGDkKAGZXj5v2OG59
130,"This Is Me","Keala Settle",4598787,https://open.spotify.com/track/2xGjteMU3E1tkEPVFBO08U
131,"Ahora Dice","Chris Jeday",4580081,https://open.spotify.com/track/22eADXu8DfOAUEDw4vU8qy
132,"Thinking Out Loud","Ed Sheeran",4551127,https://open.spotify.com/track/1Slwb6dOYkBlWal1PGtnNg
133,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",4532232,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW
134,"Wanted You (feat. Lil Uzi Vert)",NAV,4515164,https://open.spotify.com/track/790MhTXPFrYkrqCKvpg4t1
135,"Scared to Be Lonely","Martin Garrix",4501582,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH
136,Sober,G-Eazy,4497031,https://open.spotify.com/track/3qk4wRMDlaeagZGjSYbsOV
137,Issues,"Julia Michaels",4474397,https://open.spotify.com/track/7vu0JkJh0ldukEYbTVcqd0
138,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,4439642,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
139,"2U (feat. Justin Bieber)","David Guetta",4431451,https://open.spotify.com/track/3A7qX2QjDlPnazUsRk5y0M
140,"Billie Jean","Michael Jackson",4317606,https://open.spotify.com/track/5ChkMS8OtdzJeqyybCc9R5
141,"Roll In Peace (feat. XXXTENTACION)","Kodak Black",4304946,https://open.spotify.com/track/40oKW22ZNNkEdZLJTScaQI
142,Passionfruit,Drake,4303794,https://open.spotify.com/track/7hDc8b7IXETo14hHIHdnhd
143,"Slippery (feat. Gucci Mane)",Migos,4289203,https://open.spotify.com/track/6p8NuHm8uCGnn2Dtbtf7zE
144,Redbone,"Childish Gambino",4272585,https://open.spotify.com/track/3kxfsdsCpFgN412fpnW85Y
145,"White Iverson","Post Malone",4262115,https://open.spotify.com/track/6eT7xZZlB2mwyzJ2sUKG6w
146,"Slow Hands","Niall Horan",4252974,https://open.spotify.com/track/38yBBH2jacvDxrznF7h08J
147,"Reggaetón Lento (Remix)",CNCO,4239142,https://open.spotify.com/track/5PB8zB1MOZASboLquvinMF
148,"Tú Foto",Ozuna,4226122,https://open.spotify.com/track/5zSOVwaY3sVjnmLhuEfsuf
149,"Back to You (feat. Bebe Rexha & Digital Farm Animals)","Louis Tomlinson",4224318,https://open.spotify.com/track/7F9vK8hNFMml4GtHsaXui6
150,"Stir Fry",Migos,4215012,https://open.spotify.com/track/4fndbjoz1qJyK6JcLdKfzm
151,"I Feel It Coming","The Weeknd",4205686,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt
152,"Don't Let Me Down","The Chainsmokers",4203824,https://open.spotify.com/track/0QsvXIfqM0zZoerQfsI9lm
153,Explícale,Yandel,4198799,https://open.spotify.com/track/1LszjjoVwDDZcWUQbzeDLG
154,"No Promises (feat. Demi Lovato)","Cheat Codes",4154823,https://open.spotify.com/track/1louJpMmzEicAn7lzDalPW
155,"Can't Hold Us - feat. Ray Dalton","Macklemore & Ryan Lewis",4152363,https://open.spotify.com/track/3bidbhpOYeV4knp8AIu8Xn
156,Saint,"Huncho Jack",4148336,https://open.spotify.com/track/7foypmc7KZyU716Yv63BPe
157,Paris,"The Chainsmokers",4139525,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG
158,"Ghostface Killers","21 Savage",4123876,https://open.spotify.com/track/5u6vkDnOyaf8LsteDAj2ub
159,"Your Song","Rita Ora",4106819,https://open.spotify.com/track/4c2W3VKsOFoIg2SFaO6DY5
160,Happier,"Ed Sheeran",4097335,https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB
161,"Too Much To Ask","Niall Horan",4082904,https://open.spotify.com/track/4v094LQ9eF10k2O2Te2ngK
162,Slide,"Calvin Harris",4081388,https://open.spotify.com/track/7tr2za8SQg2CI8EDgrdtNl
163,"The Greatest Show","Hugh Jackman",4068016,https://open.spotify.com/track/43ay9lQZ5rfNcOOHhRF2cM
164,"Walk On Water (feat. Beyoncé)",Eminem,4059471,https://open.spotify.com/track/5PIBgH1cUFwu5IiUk9tnN9
165,DNA.,"Kendrick Lamar",4051265,https://open.spotify.com/track/6HZILIRieu8S0iqY8kIKhj
166,"A Different Way (with Lauv)","DJ Snake",4041480,https://open.spotify.com/track/0Wv5wuenRLI3BcwgT3HPIP
167,"The Way Life Goes (feat. Oh Wonder)","Lil Uzi Vert",4031694,https://open.spotify.com/track/2eAZfqOm4EnOF9VvN50Tyc
168,"Cheap Thrills",Sia,3967889,https://open.spotify.com/track/27SdWb2rFzO6GWiYDBTD9j
169,"Olha a Explosão","MC Kevinho",3840017,https://open.spotify.com/track/6m2LNopVJKsvBB9l7Z1rwn
170,"24K Magic","Bruno Mars",3810339,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P
171,Dreamer,"Axwell /\ Ingrosso",3792747,https://open.spotify.com/track/0RTzJVkunbGwuRjXDFHnjf
172,"Dubai Shit","Huncho Jack",3781196,https://open.spotify.com/track/6urLjX35oXXRYtcH1b3dCh
173,"El Farsante",Ozuna,3769708,https://open.spotify.com/track/5EId1m4DNwTf3at31w8bPJ
174,"...Ready For It?","Taylor Swift",3729605,https://open.spotify.com/track/2yLa0QULdQr0qAIvVwN6B5
175,"Bad and Boujee (feat. Lil Uzi Vert)",Migos,3711873,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR
176,"Never Enough","Loren Allred",3711418,https://open.spotify.com/track/0Gl5s8IhMmQE5YQwM8Qx1J
177,"Pumped Up Kicks","Foster The People",3684926,https://open.spotify.com/track/7w87IxuO7BDcJ3YUqCyMTT
178,"Good Old Days (feat. Kesha)",Macklemore,3660553,https://open.spotify.com/track/2Za1AlJNvksouPPWbXpR2X
179,"There for You","Martin Garrix",3652678,https://open.spotify.com/track/6jA8HL9i4QGzsj6fjoxp8Y
180,"Hey Ya! - Radio Mix / Club Mix",OutKast,3635414,https://open.spotify.com/track/2PpruBYCo4H7WOBJ7Q2EwM
181,"Look At Me!",XXXTENTACION,3605275,https://open.spotify.com/track/6eYxmK9fdL4hwLnXG2zY3s
182,"Hey DJ",CNCO,3603304,https://open.spotify.com/track/209gZgcfLq2aUuu51vOWBl
183,"Was Du Liebe nennst",Bausa,3600702,https://open.spotify.com/track/4hKWUzhQWsOkgT6LnDEASe
184,"Quiero Repetir",Ozuna,3596188,https://open.spotify.com/track/0MIcPSq9n2z5H8TAfEstri
185,"Sign of the Times","Harry Styles",3582590,https://open.spotify.com/track/5Ohxk2dO5COHF1krpoPigN
186,Chambea,"Bad Bunny",3557919,https://open.spotify.com/track/6ElmxV9B2mSNscEjP27M7i
187,"Síguelo Bailando",Ozuna,3550311,https://open.spotify.com/track/5Y9fnynLlIvqtM710MHzfz
188,Delicate,"Taylor Swift",3544827,https://open.spotify.com/track/6NFyWDv5CjfwuzoCkw47Xf
189,"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,3542909,https://open.spotify.com/track/7w9bgPAmPTtrkt2v16QWvQ
190,"Loco Enamorado","Abraham Mateo",3518291,https://open.spotify.com/track/4N1c5rmWOzRmB9SMacr5wB
191,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")","Justin Timberlake",3517918,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc
192,"A Million Dreams","Ziv Zaifman",3514340,https://open.spotify.com/track/0RoA7ObU6phWpqhlC9zH4Z
193,"Let Me Love You","DJ Snake",3504950,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m
194,GUMMO,6ix9ine,3478052,https://open.spotify.com/track/2vjmyyAnDUzilFYxOlTdO1
195,September,"Earth, Wind & Fire",3476906,https://open.spotify.com/track/1mqlc0vEP9mU1kZgTi6LIQ
196,"La Modelo",Ozuna,3475428,https://open.spotify.com/track/2m2ZGfJcs3lHWNPzhWH3XH
197,"The Weekend - Funk Wav Remix",SZA,3461444,https://open.spotify.com/track/0P6AWOA4LG1XOctzaVu5tt
198,"Agora Vai Sentar","MC's Jhowzinho & Kadinho",3457583,https://open.spotify.com/track/0pDaqgIForVNO4jrtTxcWT
199,"Déjate Llevar","Juan Magán",3445360,https://open.spotify.com/track/3xWEI23MLJrD0dpDcDUTW6
200,"Wonderwall - Remastered",Oasis,3433897,https://open.spotify.com/track/5qqabIl2vWzo9ApSC317sa
